Kanal	cosm	plant	treat	soil	Airflow	Cmic 
19	12	Zm	Control	Sand	155.611388	232.6004123
20	12	Zm	Control	Sand	164.00213	238.970729
22	36	Zm	Control	Sand	165.148628	230.1254554
23	36	Zm	Control	Sand	160.932965	227.7532532
24	36	Zm	Control	Sand	149.533934	234.6763732
15	10	Zm	Fc	Sand	173.549516	241.6546278
16	10	Zm	Fc	Sand	155.357738	242.6410382
17	10	Zm	Fc	Sand	163.586144	241.9643198
1	26	Zm	Fc	Sand	177.404996	206.0417741
2	26	Zm	Fc	Sand	155.185256	206.4231071
3	26	Zm	Fc	Sand	155.357738	215.2378517
4	34	Zm	Fc	Sand	173.346596	253.8291954
6	34	Zm	Fc	Sand	168.628706	234.6534865
7	34	Zm	Fc	Sand	165.716804	235.0870199
8	2	Zm	Fc	Sand	163.758626	221.0041659
9	2	Zm	Fc	Sand	160.85687	221.0988122
10	2	Zm	Fc	Sand	147.966377	223.0412531
11	18	Zm	Fc	Sand	171.819623	236.9439444
12	18	Zm	Fc	Sand	167.78997	226.5262323
14	18	Zm	Fc	Sand	162.07439	225.6481243
1	1	Zm	Lt	Sand	163.149866	255.296313
2	1	Zm	Lt	Sand	160.288694	232.4979486
3	1	Zm	Lt	Sand	161.485922	263.5433227
8	17	Zm	Lt	Sand	154.221386	299.2497041
9	17	Zm	Lt	Sand	172.11893	288.090769
10	17	Zm	Lt	Sand	153.308246	298.3867317
11	9	Zm	Lt	Sand	156.651353	316.5239558
12	9	Zm	Lt	Sand	158.127596	309.0183606
14	9	Zm	Lt	Sand	151.005104	316.3374223
18	33	Zm	Lt	Sand	154.048904	273.6751159
19	33	Zm	Lt	Sand	155.469344	247.8601433
20	33	Zm	Lt	Sand	143.1521	280.8651432
22	25	Zm	Lt	Sand	158.183399	290.0771202
23	25	Zm	Lt	Sand	153.470582	290.1773309
24	25	Zm	Lt	Sand	161.196761	296.7807369
1	11	Zm	Mix	Sand	159.74081	281.9033732
2	11	Zm	Mix	Sand	172.98134	290.7193972
3	11	Zm	Mix	Sand	162.551252	299.4613281
4	35	Zm	Mix	Sand	166.376294	292.7430267
6	35	Zm	Mix	Sand	160.887308	292.6225197
7	35	Zm	Mix	Sand	161.795375	266.5938707
8	19	Zm	Mix	Sand	158.107304	259.43145
9	19	Zm	Mix	Sand	163.220888	242.1321571
10	19	Zm	Mix	Sand	170.668052	267.9912321
22	27	Zm	Mix	Sand	151.862441	285.3858059
23	27	Zm	Mix	Sand	150.208643	298.831992
24	27	Zm	Mix	Sand	164.326802	300.4747431
22	3	Zm	Mix	Sand	171.226082	255.934946
23	3	Zm	Mix	Sand	174.066962	263.0578928
24	3	Zm	Mix	Sand	174.269882	273.0954578
